year,cumulative_views,cumulative_plays
2001,152511,45555
2002,152511,45555
2003,156142,45583
2004,194237,233314
2005,194237,233314
2006,194237,233314
2007,194237,233314
2008,194237,233314
2009,194237,233314
2010,434920075,233905
2011,434920075,233905
2012,434920075,233905
2013,434920075,233905
2014,434920075,233905
2015,434920075,233905
2016,434920075,233905
2017,434920075,233905
2018,434920075,233905
2019,434920075,233905
2020,434920075,233905
2021,434920075,233905
2022,434920075,233905
2023,434920075,233905
2024,434920075,233905
2025,434920075,233905
